EEM,AGG,HYG,GSCI,S&P 500,Date
50.44,108.18,87.54,16.7,2810.3,505
50.03,108.41,87.45,16.7,2798.03,504
49.97,108.65,87.54,16.73,2802.56,503
49.32,108.77,87.53,16.76,2776.42,502
49.51,108.74,87.58,16.71,2786.24,501
49.04,108.76,87.73,16.8,2767.56,500
48.74,108.71,87.44,16.8,2748.23,499
49.05,108.71,87.63,16.8,2751.29,498
49.13,109.01,87.9,16.68,2747.71,497
49.13,109.04,87.97,16.64,2743.15,496
48.71,109.11,87.91,16.58,2723.99,495
48.47,109.18,87.76,16.43,2713.06,494
48.01,109.17,87.34,16.4,2695.81,493
47.12,109.33,87.26,16.54,2673.61,492
46.9,109.22,87.13,16.54,2687.54,491
46.58,109.3,87.17,16.37,2682.62,490
46.46,108.96,87.13,16.28,2680.5,489
46.5,108.87,87,16.27,2683.34,488
46.11,108.82,86.92,16.17,2684.57,487
45.81,108.76,87.19,16.13,2679.25,486
45.75,109.01,87.12,15.85,2681.47,485
46.69,109.33,87.3,15.8,2690.16,484
46.17,109.47,87.21,15.75,2675.81,483
46.07,109.44,87.2,15.63,2652.01,482
46.41,109.41,87.38,15.57,2662.85,481
45.86,109.1,87.33,15.53,2664.11,480
46.17,109.15,87.37,15.5,2659.99,479
45.94,109.19,87.35,15.4,2651.5,478
45.41,109.23,87.26,15.49,2636.98,477
45.28,109.37,87.22,15.61,2629.27,476
45.9,109.26,87.3,15.54,2629.57,475
45.93,109.15,87.35,15.4,2639.44,474
45.84,109.16,87.38,15.33,2642.22,473
46.1,109.08,87.78,15.65,2647.58,472
46.61,109.26,87.76,15.65,2626.07,471
47.36,109.53,87.87,15.87,2627.04,470
47.01,109.53,87.6,15.68,2601.42,469
47.71,109.53,87.87,15.76,2602.42,468
47.81,109.55,87.81,15.86,2597.08,467
47.69,109.36,87.67,15.87,2599.03,466
47.06,109.25,87.49,15.93,2582.14,465
46.82,109.31,87.47,15.86,2578.85,464
46.59,109.19,87.53,15.72,2585.64,463
45.64,109.31,86.68,15.63,2564.62,462
45.88,109.1,86.68,15.73,2578.87,461
46.19,108.99,87.05,15.49,2584.84,460
46.29,108.99,87.11,15.55,2582.3,459
46.49,109.43,86.92,15.55,2584.62,458
46.78,109.51,87.35,15.8,2594.38,457
46.56,109.58,87.74,15.86,2590.64,456
46.86,109.55,87.99,15.9,2591.13,455
46.34,109.45,87.98,15.87,2587.84,454
46.58,109.35,87.97,15.93,2579.85,453
46.52,109.29,88.02,16.04,2579.36,452
46.28,109.47,88.47,15.71,2575.26,451
45.85,109.54,88.45,15.55,2572.83,450
46.14,109.24,88.47,15.48,2581.07,449
45.48,109,88.23,15.48,2560.4,448
45.79,109.12,88.34,15.43,2557.15,447
45.89,109.19,88.59,15.39,2569.13,446
45.89,109.42,88.59,15.24,2564.98,445
46.26,109.3,88.69,15.14,2575.21,444
46.09,109.62,88.61,15.18,2562.1,443
46.5,109.54,88.6,15.02,2561.26,442
46.39,109.71,88.51,15.01,2559.36,441
46.63,109.75,88.38,14.93,2557.64,440
46.66,109.86,88.33,15.06,2553.17,439
46.24,109.59,88.29,15.08,2550.93,438
46.26,109.46,88.39,15.1,2555.24,437
46.05,109.44,88.48,15.02,2550.64,436
45.6,109.43,88.41,14.86,2544.73,435
45.63,109.28,88.4,14.93,2549.33,434
45.86,109.44,88.53,14.88,2552.07,433
45.52,109.49,88.42,14.64,2537.74,432
45.53,109.52,88.51,14.63,2534.58,431
44.82,109.43,88.35,14.9,2529.12,430
44.81,109.59,88.76,14.69,2519.36,429
44.3,109.68,88.63,14.73,2510.06,428
44.33,109.67,88.63,14.73,2507.04,427
44.49,109.99,88.59,14.9,2496.84,426
44.61,110.03,88.48,14.99,2496.66,425
45.38,109.77,88.43,15.03,2502.22,424
45.64,109.69,88.34,15.01,2500.6,423
45.64,109.71,88.45,15.12,2508.24,422
45.85,109.8,88.46,14.9,2506.65,421
45.75,109.86,88.37,14.87,2503.87,420
45.59,109.91,88.41,14.91,2500.23,419
45.32,109.93,88.33,14.72,2495.62,418
45.2,109.87,88.21,14.78,2498.37,417
45.44,109.98,88.18,14.78,2496.48,416
45.49,110.14,88.07,14.71,2488.11,415
44.89,110.44,87.79,14.71,2461.43,414
45.19,110.57,88.07,14.56,2465.1,413
44.86,110.3,88.06,14.51,2465.54,412
44.57,110.42,88.12,14.49,2457.85,411
45.16,109.97,88.32,14.7,2476.55,410
44.83,110.45,88.6,14.72,2471.65,409
44.76,110.3,88.36,14.56,2457.59,408
44.69,110.32,88.12,14.48,2446.3,407
44.77,110.16,88.23,14.46,2444.24,406
44.93,110.12,88.22,14.04,2443.05,405
44.67,110.04,88.06,14.13,2438.97,404
44.53,110.18,87.93,14.16,2444.04,403
44.32,109.93,87.92,14.19,2452.51,402
43.83,110.03,87.56,14.21,2428.37,401
43.67,109.95,87.47,14.22,2425.55,400
43.3,110.02,87.34,14.13,2430.01,399
43.86,109.86,87.83,14.08,2468.11,398
43.41,109.66,87.82,14.29,2464.61,397
43.36,109.82,87.79,14,2465.84,396
42.92,109.87,87.33,14.02,2441.32,395
42.82,109.78,87.18,14.12,2438.21,394
43.86,109.67,87.74,14.12,2474.02,393
44.26,109.57,88.08,14.35,2474.92,392
44.25,109.67,88.46,14.26,2480.91,391
43.95,109.68,88.5,14.49,2476.83,390
43.79,109.86,88.48,14.41,2472.16,389
43.97,109.64,88.65,14.43,2477.57,388
43.93,109.72,88.63,14.44,2476.35,387
43.8,109.65,88.91,14.37,2470.3,386
43.75,109.7,88.91,14.51,2472.1,385
43.77,109.48,88.9,14.41,2475.42,384
44.01,109.64,88.97,14.61,2477.83,383
43.65,109.43,88.84,14.52,2477.13,382
43.76,109.82,88.8,14.42,2469.91,381
43.63,109.92,88.73,14.34,2472.54,380
43.66,109.73,88.8,14.16,2473.45,379
43.71,109.7,88.75,13.96,2473.83,378
43.35,109.67,88.6,13.94,2460.61,377
43.22,109.42,88.56,14.17,2459.14,376
43.42,109.37,88.53,14.23,2459.27,375
42.88,109.26,88.28,14.05,2447.83,374
42.67,109.38,88.21,14,2443.25,373
41.86,109.05,87.64,14.07,2425.53,372
41.52,108.95,87.7,13.92,2427.43,371
41.13,108.9,87.6,13.89,2425.18,370
41.05,108.94,87.68,13.94,2409.75,369
41.55,109.15,87.9,13.78,2432.54,368
41.63,109.09,87.97,13.72,2429.01,367
41.39,109.51,88.39,13.9,2423.41,366
41.2,109.65,88.18,13.87,2419.7,365
41.73,109.86,88.4,14.14,2440.69,364
41.41,109.82,88.04,14.02,2419.38,363
41.9,110.15,88.32,13.7,2439.07,362
41.5,110.05,88.2,13.62,2438.3,361
41.28,110.03,87.84,13.5,2434.5,360
41.07,109.98,87.6,13.36,2435.61,359
40.98,109.96,88.11,13.29,2437.03,358
41.63,109.79,88.42,13.21,2453.46,357
41.22,109.94,88.15,13.19,2433.15,356
41.15,109.87,88.3,13.41,2432.46,355
41.58,109.94,88.64,13.56,2437.92,354
41.59,109.59,88.63,13.67,2440.35,353
41.39,109.56,88.47,13.58,2429.39,352
41.61,109.56,88.32,13.57,2431.77,351
41.93,109.65,88.25,13.87,2433.79,350
41.68,109.76,88.18,13.79,2433.14,349
41.73,109.89,88.36,13.87,2429.33,348
41.71,109.67,88.5,13.83,2436.1,347
41.76,109.84,88.58,13.85,2439.07,346
41.55,109.48,88.53,14.12,2430.06,345
41.2,109.76,88.65,14.02,2411.8,344
41.52,109.65,88.66,14.12,2412.91,343
41.74,109.44,88.57,14.19,2415.82,342
41.59,109.48,88.52,14.26,2415.07,341
41.39,109.43,88.59,14.39,2404.39,340
41.23,109.24,88.44,14.51,2398.42,339
41.19,109.45,88.45,14.36,2394.02,338
41.15,109.52,88.18,14.75,2381.73,337
40.29,109.52,88.02,14.8,2365.72,336
40.97,109.58,87.92,14.82,2357.03,335
41.68,109.02,88.31,14.73,2400.67,334
41.64,108.88,88.18,14.45,2402.32,333
41.22,108.92,87.98,14.45,2390.9,332
41.05,108.52,88.01,14.38,2394.44,331
40.96,108.53,88,14.43,2399.63,330
40.69,108.5,87.62,14.32,2396.92,329
40.18,108.49,87.68,14.25,2399.38,328
40.19,108.7,87.58,14.18,2399.29,327
39.86,108.68,87.43,13.91,2389.52,326
40.31,108.77,87.9,14.03,2388.13,325
